; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleet	total_weight
90	4	1	comhad	47895506.8359375
91	1	1	comhad	45916453.125
91	2	1	comhad	45916453.125
91	3	1	comhad	45916453.125
91	4	1	comhad	45916453.125
92	1	1	comhad	42066814.453125
92	2	1	comhad	42066814.453125
92	3	1	comhad	42066814.453125
92	4	1	comhad	42066814.453125
93	1	1	comhad	38550518.5546875
93	2	1	comhad	38550518.5546875
93	3	1	comhad	38550518.5546875
93	4	1	comhad	38550518.5546875
94	1	1	comhad	35555220.703125
94	2	1	comhad	35555220.703125
94	3	1	comhad	35555220.703125
94	4	1	comhad	35555220.703125
95	1	1	comhad	33079136.71875
95	2	1	comhad	33079136.71875
95	3	1	comhad	33079136.71875
95	4	1	comhad	33079136.71875
96	1	1	comhad	30517086.9140625
96	2	1	comhad	30517086.9140625
96	3	1	comhad	30517086.9140625
96	4	1	comhad	30517086.9140625
97	1	1	comhad	27481379.8828125
97	2	1	comhad	27481379.8828125
97	3	1	comhad	27481379.8828125
97	4	1	comhad	27481379.8828125
98	1	1	comhad	25698257.8125
98	2	1	comhad	25698257.8125
98	3	1	comhad	25698257.8125
98	4	1	comhad	25698257.8125
99	1	1	comhad	26003932.6171875
99	2	1	comhad	26003932.6171875
99	3	1	comhad	26003932.6171875
99	4	1	comhad	26003932.6171875
100	1	1	comhad	39362021.484375
100	2	1	comhad	39362021.484375
100	3	1	comhad	39362021.484375
100	4	1	comhad	39362021.484375
101	1	1	comhad	50420044.921875
101	2	1	comhad	50420044.921875
101	3	1	comhad	50420044.921875
101	4	1	comhad	50420044.921875
102	1	1	comhad	48192506.8359375
102	2	1	comhad	48192506.8359375
102	3	1	comhad	48192506.8359375
102	4	1	comhad	48192506.8359375
103	1	1	comhad	43775296.875
103	2	1	comhad	43775296.875
103	3	1	comhad	43775296.875
103	4	1	comhad	43775296.875
104	1	1	comhad	38198888.671875
104	2	1	comhad	38198888.671875
104	3	1	comhad	38198888.671875
104	4	1	comhad	38198888.671875
105	1	1	comhad	47565389.6484375
105	2	1	comhad	47565389.6484375
105	3	1	comhad	47565389.6484375
105	4	1	comhad	47565389.6484375
106	1	1	comhad	38631377.9296875
106	2	1	comhad	38631377.9296875
106	3	1	comhad	38631377.9296875
106	4	1	comhad	38631377.9296875
107	1	1	comhad	34524574.21875
107	2	1	comhad	34524574.21875
107	3	1	comhad	34524574.21875
107	4	1	comhad	34524574.21875
108	1	1	comhad	30487476.5625
108	2	1	comhad	30487476.5625
108	3	1	comhad	30487476.5625
108	4	1	comhad	30487476.5625
109	1	1	comhad	27984878.90625
109	2	1	comhad	27984878.90625
109	3	1	comhad	27984878.90625
109	4	1	comhad	27984878.90625
110	1	1	comhad	24867966.796875
110	2	1	comhad	24867966.796875
110	3	1	comhad	24867966.796875
110	4	1	comhad	24867966.796875
111	1	1	comhad	22323858.3984375
111	2	1	comhad	22323858.3984375
111	3	1	comhad	22323858.3984375
111	4	1	comhad	22323858.3984375
112	1	1	comhad	20781426.2695312
112	2	1	comhad	20781426.2695312
112	3	1	comhad	20781426.2695312
112	4	1	comhad	20781426.2695312
113	1	1	comhad	18289494.140625
113	2	1	comhad	18289494.140625
113	3	1	comhad	18289494.140625
113	4	1	comhad	18289494.140625
114	1	1	comhad	16049510.7421875
114	2	1	comhad	16049510.7421875
114	3	1	comhad	16049510.7421875
114	4	1	comhad	16049510.7421875
115	1	1	comhad	14222217.7734375
115	2	1	comhad	14222217.7734375
115	3	1	comhad	14222217.7734375
115	4	1	comhad	14222217.7734375
116	1	1	comhad	11279228.0273438
116	2	1	comhad	11279228.0273438
116	3	1	comhad	11279228.0273438
116	4	1	comhad	11279228.0273438
117	1	1	comhad	9883165.28320312
117	2	1	comhad	9883165.28320312
117	3	1	comhad	9883165.28320312
117	4	1	comhad	9883165.28320312
118	1	1	comhad	9040406.98242188
118	2	1	comhad	9040406.98242188
118	3	1	comhad	9040406.98242188
118	4	1	comhad	9040406.98242188
119	1	1	comhad	8872291.25976562
119	2	1	comhad	8872291.25976562
119	3	1	comhad	8872291.25976562
119	4	1	comhad	8872291.25976562
120	1	1	comhad	8915658.69140625
120	2	1	comhad	8915658.69140625
120	3	1	comhad	8915658.69140625
120	4	1	comhad	8915658.69140625
