; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleet	total_weight
91	1	1	comhad	45916453.125
91	2	1	comhad	45916453.125
91	3	1	comhad	45916453.125
91	4	1	comhad	45916453.125
92	1	1	comhad	42066812.5
92	2	1	comhad	42066812.5
92	3	1	comhad	42066812.5
92	4	1	comhad	42066812.5
93	1	1	comhad	38550519.53125
93	2	1	comhad	38550519.53125
93	3	1	comhad	38550519.53125
93	4	1	comhad	38550519.53125
94	1	1	comhad	35555222.65625
94	2	1	comhad	35555222.65625
94	3	1	comhad	35555222.65625
94	4	1	comhad	35555222.65625
95	1	1	comhad	33079136.71875
95	2	1	comhad	33079136.71875
95	3	1	comhad	33079136.71875
95	4	1	comhad	33079136.71875
96	1	1	comhad	30517087.890625
96	2	1	comhad	30517087.890625
96	3	1	comhad	30517087.890625
96	4	1	comhad	30517087.890625
97	1	1	comhad	27481380.859375
97	2	1	comhad	27481380.859375
97	3	1	comhad	27481380.859375
97	4	1	comhad	27481380.859375
98	1	1	comhad	25698257.8125
98	2	1	comhad	25698257.8125
98	3	1	comhad	25698257.8125
98	4	1	comhad	25698257.8125
99	1	1	comhad	26003933.59375
99	2	1	comhad	26003933.59375
99	3	1	comhad	26003933.59375
99	4	1	comhad	26003933.59375
100	1	1	comhad	39362019.53125
100	2	1	comhad	39362019.53125
100	3	1	comhad	39362019.53125
100	4	1	comhad	39362019.53125
101	1	1	comhad	50420046.875
101	2	1	comhad	50420046.875
101	3	1	comhad	50420046.875
101	4	1	comhad	50420046.875
102	1	1	comhad	48192507.8125
102	2	1	comhad	48192507.8125
102	3	1	comhad	48192507.8125
102	4	1	comhad	48192507.8125
103	1	1	comhad	43775296.875
103	2	1	comhad	43775296.875
103	3	1	comhad	43775296.875
103	4	1	comhad	43775296.875
104	1	1	comhad	38198890.625
104	2	1	comhad	38198890.625
104	3	1	comhad	38198890.625
104	4	1	comhad	38198890.625
105	1	1	comhad	47565386.71875
105	2	1	comhad	47565386.71875
105	3	1	comhad	47565386.71875
105	4	1	comhad	47565386.71875
106	1	1	comhad	38631378.90625
106	2	1	comhad	38631378.90625
106	3	1	comhad	38631378.90625
106	4	1	comhad	38631378.90625
107	1	1	comhad	34524574.21875
107	2	1	comhad	34524574.21875
107	3	1	comhad	34524574.21875
107	4	1	comhad	34524574.21875
108	1	1	comhad	30487476.5625
108	2	1	comhad	30487476.5625
108	3	1	comhad	30487476.5625
108	4	1	comhad	30487476.5625
109	1	1	comhad	27984878.90625
109	2	1	comhad	27984878.90625
109	3	1	comhad	27984878.90625
109	4	1	comhad	27984878.90625
110	1	1	comhad	24867966.796875
110	2	1	comhad	24867966.796875
110	3	1	comhad	24867966.796875
110	4	1	comhad	24867966.796875
111	1	1	comhad	22323859.375
111	2	1	comhad	22323859.375
111	3	1	comhad	22323859.375
111	4	1	comhad	22323859.375
112	1	1	comhad	20781425.78125
112	2	1	comhad	20781425.78125
112	3	1	comhad	20781425.78125
112	4	1	comhad	20781425.78125
113	1	1	comhad	18289494.140625
113	2	1	comhad	18289494.140625
113	3	1	comhad	18289494.140625
113	4	1	comhad	18289494.140625
114	1	1	comhad	16049510.7421875
114	2	1	comhad	16049510.7421875
114	3	1	comhad	16049510.7421875
114	4	1	comhad	16049510.7421875
115	1	1	comhad	14222217.7734375
115	2	1	comhad	14222217.7734375
115	3	1	comhad	14222217.7734375
115	4	1	comhad	14222217.7734375
116	1	1	comhad	11279227.5390625
116	2	1	comhad	11279227.5390625
116	3	1	comhad	11279227.5390625
116	4	1	comhad	11279227.5390625
117	1	1	comhad	9883165.0390625
117	2	1	comhad	9883165.0390625
117	3	1	comhad	9883165.0390625
117	4	1	comhad	9883165.0390625
118	1	1	comhad	9040407.2265625
118	2	1	comhad	9040407.2265625
118	3	1	comhad	9040407.2265625
118	4	1	comhad	9040407.2265625
119	1	1	comhad	8872291.9921875
119	2	1	comhad	8872291.9921875
119	3	1	comhad	8872291.9921875
119	4	1	comhad	8872291.9921875
120	1	1	comhad	8915659.1796875
120	2	1	comhad	8915659.1796875
120	3	1	comhad	8915659.1796875
120	4	1	comhad	8915659.1796875
