; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleet	total_weight
69	4	1	comcod	160368914.0625
70	1	1	comcod	160097753.90625
70	2	1	comcod	160097753.90625
70	3	1	comcod	160097753.90625
70	4	1	comcod	160097753.90625
71	1	1	comcod	161252074.21875
71	2	1	comcod	161252074.21875
71	3	1	comcod	161252074.21875
71	4	1	comcod	161252074.21875
72	1	1	comcod	155202539.0625
72	2	1	comcod	155202539.0625
72	3	1	comcod	155202539.0625
72	4	1	comcod	155202539.0625
73	1	1	comcod	155660589.84375
73	2	1	comcod	155660589.84375
73	3	1	comcod	155660589.84375
73	4	1	comcod	155660589.84375
74	1	1	comcod	159147011.71875
74	2	1	comcod	159147011.71875
74	3	1	comcod	159147011.71875
74	4	1	comcod	159147011.71875
75	1	1	comcod	156083765.625
75	2	1	comcod	156083765.625
75	3	1	comcod	156083765.625
75	4	1	comcod	156083765.625
76	1	1	comcod	151416269.53125
76	2	1	comcod	151416269.53125
76	3	1	comcod	151416269.53125
76	4	1	comcod	151416269.53125
77	1	1	comcod	157406273.4375
77	2	1	comcod	157406273.4375
77	3	1	comcod	157406273.4375
77	4	1	comcod	157406273.4375
78	1	1	comcod	158744753.90625
78	2	1	comcod	158744753.90625
78	3	1	comcod	158744753.90625
78	4	1	comcod	158744753.90625
79	1	1	comcod	155567777.34375
79	2	1	comcod	155567777.34375
79	3	1	comcod	155567777.34375
79	4	1	comcod	155567777.34375
80	1	1	comcod	102037886.71875
80	2	1	comcod	102037886.71875
80	3	1	comcod	102037886.71875
80	4	1	comcod	102037886.71875
81	1	1	comcod	125661152.34375
81	2	1	comcod	125661152.34375
81	3	1	comcod	125661152.34375
81	4	1	comcod	125661152.34375
82	1	1	comcod	136876007.8125
82	2	1	comcod	136876007.8125
82	3	1	comcod	136876007.8125
82	4	1	comcod	136876007.8125
83	1	1	comcod	139303734.375
83	2	1	comcod	139303734.375
83	3	1	comcod	139303734.375
83	4	1	comcod	139303734.375
84	1	1	comcod	141767929.6875
84	2	1	comcod	141767929.6875
84	3	1	comcod	141767929.6875
84	4	1	comcod	141767929.6875
85	1	1	comcod	145999125
85	2	1	comcod	145999125
85	3	1	comcod	145999125
85	4	1	comcod	145999125
86	1	1	comcod	148979250
86	2	1	comcod	148979250
86	3	1	comcod	148979250
86	4	1	comcod	148979250
87	1	1	comcod	149716312.5
87	2	1	comcod	149716312.5
87	3	1	comcod	149716312.5
87	4	1	comcod	149716312.5
88	1	1	comcod	149770945.3125
88	2	1	comcod	149770945.3125
88	3	1	comcod	149770945.3125
88	4	1	comcod	149770945.3125
89	1	1	comcod	151950492.1875
89	2	1	comcod	151950492.1875
89	3	1	comcod	151950492.1875
89	4	1	comcod	151950492.1875
90	1	1	comcod	152658222.65625
90	2	1	comcod	152658222.65625
90	3	1	comcod	152658222.65625
90	4	1	comcod	152658222.65625
91	1	1	comcod	147855820.3125
91	2	1	comcod	147855820.3125
91	3	1	comcod	147855820.3125
91	4	1	comcod	147855820.3125
92	1	1	comcod	150274816.40625
92	2	1	comcod	150274816.40625
92	3	1	comcod	150274816.40625
92	4	1	comcod	150274816.40625
93	1	1	comcod	153094839.84375
93	2	1	comcod	153094839.84375
93	3	1	comcod	153094839.84375
93	4	1	comcod	153094839.84375
94	1	1	comcod	150865054.6875
94	2	1	comcod	150865054.6875
94	3	1	comcod	150865054.6875
94	4	1	comcod	150865054.6875
95	1	1	comcod	150161449.21875
95	2	1	comcod	150161449.21875
95	3	1	comcod	150161449.21875
95	4	1	comcod	150161449.21875
96	1	1	comcod	149188734.375
96	2	1	comcod	149188734.375
96	3	1	comcod	149188734.375
96	4	1	comcod	149188734.375
97	1	1	comcod	147047390.625
97	2	1	comcod	147047390.625
97	3	1	comcod	147047390.625
97	4	1	comcod	147047390.625
98	1	1	comcod	149613621.09375
98	2	1	comcod	149613621.09375
98	3	1	comcod	149613621.09375
98	4	1	comcod	149613621.09375
99	1	1	comcod	152331445.3125
99	2	1	comcod	152331445.3125
99	3	1	comcod	152331445.3125
99	4	1	comcod	152331445.3125
100	1	1	comcod	150306761.71875
100	2	1	comcod	150306761.71875
100	3	1	comcod	150306761.71875
100	4	1	comcod	150306761.71875
101	1	1	comcod	153291152.34375
101	2	1	comcod	153291152.34375
101	3	1	comcod	153291152.34375
101	4	1	comcod	153291152.34375
102	1	1	comcod	147209730.46875
102	2	1	comcod	147209730.46875
102	3	1	comcod	147209730.46875
102	4	1	comcod	147209730.46875
103	1	1	comcod	150829628.90625
103	2	1	comcod	150829628.90625
103	3	1	comcod	150829628.90625
103	4	1	comcod	150829628.90625
104	1	1	comcod	149956816.40625
104	2	1	comcod	149956816.40625
104	3	1	comcod	149956816.40625
104	4	1	comcod	149956816.40625
105	1	1	comcod	171170109.375
105	2	1	comcod	171170109.375
105	3	1	comcod	171170109.375
105	4	1	comcod	171170109.375
106	1	1	comcod	161761218.75
106	2	1	comcod	161761218.75
106	3	1	comcod	161761218.75
106	4	1	comcod	161761218.75
107	1	1	comcod	160252546.875
107	2	1	comcod	160252546.875
107	3	1	comcod	160252546.875
107	4	1	comcod	160252546.875
108	1	1	comcod	153327937.5
108	2	1	comcod	153327937.5
108	3	1	comcod	153327937.5
108	4	1	comcod	153327937.5
109	1	1	comcod	157390687.5
109	2	1	comcod	157390687.5
109	3	1	comcod	157390687.5
109	4	1	comcod	157390687.5
110	1	1	comcod	153494156.25
110	2	1	comcod	153494156.25
110	3	1	comcod	153494156.25
110	4	1	comcod	153494156.25
111	1	1	comcod	146560617.1875
111	2	1	comcod	146560617.1875
111	3	1	comcod	146560617.1875
111	4	1	comcod	146560617.1875
112	1	1	comcod	146655632.8125
112	2	1	comcod	146655632.8125
112	3	1	comcod	146655632.8125
112	4	1	comcod	146655632.8125
113	1	1	comcod	151758750
113	2	1	comcod	151758750
113	3	1	comcod	151758750
113	4	1	comcod	151758750
114	1	1	comcod	154862859.375
114	2	1	comcod	154862859.375
114	3	1	comcod	154862859.375
114	4	1	comcod	154862859.375
115	1	1	comcod	152206746.09375
115	2	1	comcod	152206746.09375
115	3	1	comcod	152206746.09375
115	4	1	comcod	152206746.09375
116	1	1	comcod	155180308.59375
116	2	1	comcod	155180308.59375
116	3	1	comcod	155180308.59375
116	4	1	comcod	155180308.59375
117	1	1	comcod	152809089.84375
117	2	1	comcod	152809089.84375
117	3	1	comcod	152809089.84375
117	4	1	comcod	152809089.84375
118	1	1	comcod	158295773.4375
118	2	1	comcod	158295773.4375
118	3	1	comcod	158295773.4375
118	4	1	comcod	158295773.4375
119	1	1	comcod	154380457.03125
119	2	1	comcod	154380457.03125
119	3	1	comcod	154380457.03125
119	4	1	comcod	154380457.03125
120	1	1	comcod	152540777.34375
120	2	1	comcod	152540777.34375
120	3	1	comcod	152540777.34375
120	4	1	comcod	152540777.34375
